,TAHUN,INFLASI,GDP,INFLASI_MALAYSIA,INFLASI_THAILAND,INFLASI_PHILIPPHINES,INFLASI_UNITEDSTATES
0,1980-01-01,18.03543016,10.0,6.7,19.7,18.2,13.5
1,1981-01-01,12.26590851,7.878787879,9.7,12.7,13.1,10.4
2,1982-01-01,9.445423954,2.247191011,5.8,5.3,9.0,6.2
3,1983-01-01,11.79974052,4.395604396,3.7,3.7,5.3,3.2
4,1984-01-01,10.45503482,6.842105263,3.9,0.8,46.7,4.4
5,1985-01-01,4.724536157,2.463054187,2.6,2.4,23.2,3.5
6,1986-01-01,5.822666962,5.769230769,0.4,1.8,-0.3,1.9
7,1987-01-01,9.278656132,5.0,0.7,2.5,3.0,3.6
8,1988-01-01,8.045367151,5.627705628,0.3,3.9,12.2,4.1
9,1989-01-01,6.415539635,7.786885246,2.6,5.4,11.4,4.8
10,1990-01-01,7.819191447,7.224334601,3.0,5.8,13.2,5.4
11,1991-01-01,9.419058277,6.775817441,4.3,5.7,19.4,4.2
12,1992-01-01,7.52351717,6.497506517,4.8,4.1,8.6,3.0
13,1993-01-01,9.671893382,6.49640812,3.5,3.3,6.8,3.0
14,1994-01-01,8.532005254,7.539971096,3.7,5.1,12.5,2.6
15,1995-01-01,9.420323216,8.220007399,3.5,5.8,6.9,2.8
16,1996-01-01,7.973280856,7.818187077,3.5,5.8,8.3,2.9
17,1997-01-01,6.226141634,4.699878854,2.7,5.6,5.6,2.3
18,1998-01-01,58.45104447,-13.12672549,5.3,8.0,9.4,1.5
19,1999-01-01,20.47783111,0.791126082,2.7,0.2,6.2,2.2
20,2000-01-01,3.68861916,4.920067747,1.6,1.7,6.5,3.4
21,2001-01-01,11.50011488,3.643466447,1.4,1.6,5.4,2.8
22,2002-01-01,11.90011757,4.499475391,1.8,0.7,2.8,1.6
23,2003-01-01,6.757317194,4.780369122,1.1,1.8,2.2,2.3
24,2004-01-01,6.064059885,5.030873945,1.4,2.8,4.8,2.7
25,2005-01-01,10.45319842,5.692571304,3.0,4.5,6.6,3.4
26,2006-01-01,13.1086721,5.500951785,3.6,4.7,5.4,3.2
27,2007-01-01,6.406562813,6.345022227,2.0,2.2,2.9,2.9
28,2008-01-01,10.22666455,6.0137036,5.4,5.5,8.2,3.8
29,2009-01-01,4.38641555,4.628871183,0.6,-0.9,4.2,-0.3
30,2010-01-01,5.134204008,6.223854181,1.7,3.3,3.7,1.6
31,2011-01-01,5.35604779,6.169784208,3.2,3.8,4.7,3.1
32,2012-01-01,4.279499996,6.030050653,1.7,3.0,3.2,2.1
33,2013-01-01,6.412513302,5.557263689,2.1,2.2,2.6,1.5
34,2014-01-01,6.394925408,5.006668426,3.1,1.9,3.6,1.6
35,2015-01-01,6.363121131,4.8763223,2.1,-0.9,0.7,0.1
36,2016-01-01,3.525805157,5.033069183,2.1,0.2,1.2,1.3
37,2017-01-01,3.80879807,5.069785901,3.8,0.7,2.9,2.1
38,2018-01-01,3.198346416,5.17429154,1.0,1.1,5.3,2.4
39,2019-01-01,3.03058665,5.01928768,0.7,0.7,2.4,1.8
40,2020-01-01,1.920968006,-2.065511829,-1.1,-0.8,2.4,1.3
41,2021-01-01,1.560129905,3.703055357,2.5,1.2,3.9,4.7
42,2022-01-01,4.209463834,5.308595005,3.4,6.1,5.8,8.0
43,2023-01-01,3.6,5.0481,2.9,1.5,5.8,4.1
